Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
CHF,738.22,715.44,743.4,746.59,740.06,2020.12.31,23:27:52
CHF,738.19,715.41,743.37,746.56,740.06,2020.12.31,23:18:47
CHF,738.47,715.68,743.65,746.84,740.06,2020.12.31,23:18:36
CHF,738.97,716.17,744.17,747.35,740.06,2020.12.31,22:58:45
CHF,739.22,716.41,744.42,747.61,740.06,2020.12.31,22:52:03
CHF,739.36,716.55,744.56,747.75,740.06,2020.12.31,22:51:34
CHF,739.62,716.8,744.82,748.01,740.06,2020.12.31,22:25:49
CHF,739.96,717.13,745.16,748.35,740.06,2020.12.31,22:21:31
CHF,739.79,716.96,744.99,748.18,740.06,2020.12.31,21:12:22
CHF,738.82,716.02,744,747.19,740.06,2020.12.31,20:34:59
CHF,739.01,716.21,744.21,747.39,740.06,2020.12.31,20:31:50
CHF,739.6,716.78,744.8,747.99,740.06,2020.12.31,20:31:43
CHF,739.6,716.78,744.8,747.99,740.06,2020.12.31,19:55:30
CHF,739.6,716.78,744.8,747.99,740.06,2020.12.31,19:49:46
CHF,739.93,717.1,745.13,748.32,740.06,2020.12.31,19:42:54
CHF,739.85,717.02,745.05,748.24,740.06,2020.12.31,19:39:31
CHF,740.19,717.35,745.39,748.58,740.06,2020.12.31,19:31:42
CHF,739.51,716.69,744.71,747.9,740.06,2020.12.31,19:09:22
CHF,739.46,716.64,744.66,747.85,740.06,2020.12.31,18:51:51
CHF,739.29,716.48,744.49,747.68,740.06,2020.12.31,18:47:33
CHF,738.22,715.44,743.4,746.59,740.06,2020.12.31,23:27:52
CHF,738.19,715.41,743.37,746.56,740.06,2020.12.31,23:18:47
CHF,738.47,715.68,743.65,746.84,740.06,2020.12.31,23:18:36
CHF,738.97,716.17,744.17,747.35,740.06,2020.12.31,22:58:45
CHF,739.22,716.41,744.42,747.61,740.06,2020.12.31,22:52:03
CHF,739.36,716.55,744.56,747.75,740.06,2020.12.31,22:51:34
CHF,739.62,716.8,744.82,748.01,740.06,2020.12.31,22:25:49
CHF,739.96,717.13,745.16,748.35,740.06,2020.12.31,22:21:31
CHF,739.79,716.96,744.99,748.18,740.06,2020.12.31,21:12:22
CHF,738.82,716.02,744,747.19,740.06,2020.12.31,20:34:59
CHF,739.01,716.21,744.21,747.39,740.06,2020.12.31,20:31:50
CHF,739.6,716.78,744.8,747.99,740.06,2020.12.31,20:31:43
CHF,739.6,716.78,744.8,747.99,740.06,2020.12.31,19:55:30
CHF,739.6,716.78,744.8,747.99,740.06,2020.12.31,19:49:46
CHF,739.93,717.1,745.13,748.32,740.06,2020.12.31,19:42:54
CHF,739.85,717.02,745.05,748.24,740.06,2020.12.31,19:39:31
CHF,740.19,717.35,745.39,748.58,740.06,2020.12.31,19:31:42
CHF,739.51,716.69,744.71,747.9,740.06,2020.12.31,19:09:22
CHF,739.46,716.64,744.66,747.85,740.06,2020.12.31,18:51:51
CHF,739.29,716.48,744.49,747.68,740.06,2020.12.31,18:47:33
CHF,739.46,716.64,744.66,747.85,740.06,2020.12.31,18:25:42
CHF,739.4,716.59,744.6,747.79,740.06,2020.12.31,18:02:00
CHF,739.23,716.42,744.43,747.62,740.06,2020.12.31,17:59:09
CHF,739.65,716.83,744.85,748.04,740.06,2020.12.31,17:56:50
CHF,739.82,716.99,745.02,748.21,740.06,2020.12.31,17:45:31
CHF,739.03,716.23,744.23,747.41,740.06,2020.12.31,17:30:02
CHF,738.82,716.02,744,747.19,740.06,2020.12.31,17:26:07
CHF,739.06,716.26,744.26,747.44,740.06,2020.12.31,17:22:39
CHF,739.29,716.48,744.49,747.68,740.06,2020.12.31,17:18:35
CHF,738.98,716.18,744.18,747.36,740.06,2020.12.31,17:16:29
CHF,739.32,716.51,744.52,747.71,740.06,2020.12.31,17:14:55
CHF,739.46,716.64,744.66,747.85,740.06,2020.12.31,17:13:23
CHF,739.51,716.69,744.71,747.9,740.06,2020.12.31,17:11:54
CHF,739.71,716.89,744.91,748.1,740.06,2020.12.31,17:07:40
CHF,739.79,716.96,744.99,748.18,740.06,2020.12.31,17:05:21
CHF,739.85,717.02,745.05,748.24,740.06,2020.12.31,17:02:04
CHF,739.71,716.89,744.91,748.1,740.06,2020.12.31,17:02:15
CHF,739.82,716.99,745.02,748.21,740.06,2020.12.31,17:01:54
CHF,739.85,717.02,745.05,748.24,740.06,2020.12.31,16:58:02
CHF,739.91,717.08,745.11,748.3,740.06,2020.12.31,16:54:25
CHF,740.16,717.32,745.36,748.55,740.06,2020.12.31,16:51:28
CHF,740.1,717.26,745.3,748.49,740.06,2020.12.31,16:51:04
CHF,739.62,716.8,744.82,748.01,740.06,2020.12.31,16:50:22
CHF,739.45,716.63,744.65,747.84,740.06,2020.12.31,16:50:05
CHF,739.23,716.42,744.43,747.62,740.06,2020.12.31,16:48:14
CHF,738.97,716.17,744.17,747.35,740.06,2020.12.31,16:45:45
CHF,738.67,715.87,743.85,747.04,740.06,2020.12.31,16:42:43
CHF,738.47,715.68,743.65,746.84,740.06,2020.12.31,16:41:32
CHF,738.61,715.81,743.79,746.98,740.06,2020.12.31,16:37:05
CHF,738.94,716.14,744.14,747.32,740.06,2020.12.31,16:35:18
CHF,738.73,715.93,743.91,747.1,740.06,2020.12.31,16:31:26
CHF,738.67,715.87,743.85,747.04,740.06,2020.12.31,16:31:13
