Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
USD,651.87,646.57,654.63,654.63,652.49,2020.12.31,22:52:03
USD,652.07,646.77,654.84,654.84,652.49,2020.12.31,22:51:34
USD,652.07,646.77,654.84,654.84,652.49,2020.12.31,22:25:49
USD,652.07,646.77,654.84,654.84,652.49,2020.12.31,22:21:31
USD,652.37,647.06,655.14,655.14,652.49,2020.12.31,21:12:22
USD,652.62,647.31,655.39,655.39,652.49,2020.12.31,20:34:59
USD,652.57,647.26,655.34,655.34,652.49,2020.12.31,20:31:50
USD,652.57,647.26,655.34,655.34,652.49,2020.12.31,20:31:43
USD,652.57,647.26,655.34,655.34,652.49,2020.12.31,19:55:30
USD,652.57,647.26,655.34,655.34,652.49,2020.12.31,19:49:46
USD,652.57,647.26,655.34,655.34,652.49,2020.12.31,19:42:54
USD,652.57,647.26,655.34,655.34,652.49,2020.12.31,19:39:31
USD,652.57,647.26,655.34,655.34,652.49,2020.12.31,19:31:42
USD,652.57,647.26,655.34,655.34,652.49,2020.12.31,19:09:22
USD,652.67,647.36,655.44,655.44,652.49,2020.12.31,18:51:51
USD,652.67,647.36,655.44,655.44,652.49,2020.12.31,18:47:33
USD,652.67,647.36,655.44,655.44,652.49,2020.12.31,18:25:42
USD,652.62,647.31,655.39,655.39,652.49,2020.12.31,18:02:00
USD,652.62,647.31,655.39,655.39,652.49,2020.12.31,17:59:09
USD,652.62,647.31,655.39,655.39,652.49,2020.12.31,17:56:50
USD,651.87,646.57,654.63,654.63,652.49,2020.12.31,22:52:03
USD,652.07,646.77,654.84,654.84,652.49,2020.12.31,22:51:34
USD,652.07,646.77,654.84,654.84,652.49,2020.12.31,22:25:49
USD,652.07,646.77,654.84,654.84,652.49,2020.12.31,22:21:31
USD,652.37,647.06,655.14,655.14,652.49,2020.12.31,21:12:22
USD,652.62,647.31,655.39,655.39,652.49,2020.12.31,20:34:59
